Paper_ID,Title,author,publication venue,year,abstract,,,,,,,,,,,,,,
13,Phantom in the Opera: Adversarial Music Attacks on Robot Dialogue Systems,"Pingcheng Liu, Yifan Zhang, Kun Xu",Frontiers in Computer Science,2024,"This study presents an adversarial music technique where audio signals hidden within natural music deceive robot dialogue systems. These attacks target ASR to inject unintended commands, affecting system behavior covertly.",,,,,,,,,,,,,,
14,DepthFake: Spoofing 3D Face Authentication with a 2D Photo,"Zhihao Wu, Yushi Cheng, Jiahui Yang, Xiaoyu Ji, Wenyuan Xu",IEEE Symposium on Security and Privacy,2023,"DepthFake exploits vulnerabilities in 3D face authentication systems by converting 2D photos into depth-augmented patterns. Tested on commercial systems, it achieves high success rates in bypassing 3D liveness detection.",,,,,,,,,,,,,,
15,"Trust and Social Engineering in Human Robot Interaction: Will a Robot Make You Disclose Sensitive Information, Conform to Its Recommendations or Gamble?","Alexander M. Aroyo, Francesco Rea, Giulio Sandini, Alessandra Sciutti",IEEE Robotics and Automation Letters,2018,"This study explores how humanoid robots can be exploited for social engineering by building trust and eliciting sensitive information from users. Using a game scenario, researchers found participants more likely to disclose private data or gamble based on robot suggestions.",,,,,,,,,,,,,,
16,The Potential of Social Robots for Persuasion and Manipulation: A Proof of Concept Study,"Tony Belpaeme, Jorre Deschuyteneer, Djamari Oetringer, Pieter Wolfert","IDLab imec, Ghent University (Technical Report)",2019,"This study investigates how social robots could be intentionally designed to persuade or manipulate human behavior in controlled experiments, raising ethical concerns about robotic influence on decision-making and behavior.",,,,,,,,,,,,,,
17,EarArray: Defending against DolphinAttack via Acoustic Attenuation,"Guoming Zhang, Xiaoyu Ji, Xinfeng Li, Gang Qu, Wenyuan Xu",NDSS,2021,EarArray is a defense system against inaudible voice command attacks (DolphinAttack) using acoustic signal attenuation patterns. It detects commands using multi-microphone signal attenuation and identifies attack directions with high accuracy.,,,,,,,,,,,,,,
18,MicGuard: A Comprehensive Detection System against Out-of-band Injection Attacks for Different Level Microphone-based Devices,"Tiantian Liu, Feng Lin, Zhiyao Ba, Long Lu, Kui Ren",USENIX Security Symposium,2024,MicGuard is a defense system designed to detect out-of-band audio and laser injection attacks targeting microphone-equipped devices. It uses chaotic maps to distinguish between normal and malicious acoustic signals.,,,,,,,,,,,,,,
19,Adversarially Robust Speech and Speaker Recognition,Lea Schonherr,"Ph.D. Thesis, Ruhr UniversitÃ¤t Bochum",2021,"This doctoral dissertation presents novel adversarial attacks and defenses for both automatic speech recognition (ASR) and speaker verification systems, analyzing robustness challenges and mitigation strategies.",,,,,,,,,,,,,,
20,CommandShield: Real-time Defense of Voice Control Systems,"Yupeng Zeng, Pin Yi Zhao, Kai Chen",Proceedings of ACM CCS,2022,CommandShield is a defense framework designed for real-time protection of voice-controlled systems. It uses a dual-layer verification scheme to distinguish benign from adversarial voice inputs using machine learning classifiers.,,,,,,,,,,,,,,
21,Aurora Guard: Real-Time Face Anti-Spoofing via Light Reflection,"Yao Liu, Ying Tai, Jilin Li, Shengjie Ding, Chengjie Wang, Feiyue Huang",arXiv preprint arXiv:1902.10311,2019,"Aurora Guard introduces a fast, real-time anti-spoofing method using light reflection and depth estimation with a CNN model. It includes light CAPTCHA and large-scale dataset testing, demonstrating effectiveness in resisting presentation attacks.",,,,,,,,,,,,,,
22,Privacy-Preserving Robotic Cameras Obscure Images Beyond Human Recognition,Niko Suenderhauf et al.,TechXplore,2024,This paper presents a method for robotic cameras to obscure human-identifiable features while retaining task-relevant information. The system balances privacy preservation and machine-perception requirements.,,,,,,,,,,,,,,
23,Persuasive Robots Should Avoid Authority: Effects of Formal and Real Authority,"Shane P. Saunderson, Goldie Nejat",Science Robotics,2021,"The study explores how authority influences human compliance with robotic persuasion. Results indicate persuasive robots are more effective when authority is downplayed, raising insights for ethical HRI design.",,,,,,,,,,,,,,
24,Attacks on Visual SLAM using Unnoticeable Adversarial Patches,Baodong Chen; Zhengyu Chen; Qi Alfred Chen,USENIX Security Symposium,2024,"Visual SLAM is core to autonomous navigation but lacks defenses against stealthy patch attacks. The authors introduce the AoR (Adversary-is-on-the-Road) attack: a small, real-world adversarial patch that warps feature tracking and drifts the map without obvious artifacts, undermining popular ORB-SLAM pipelines in both simulation and on-vehicle tests.(usenix.org)",,,,,,,,,,,,,,
25,Targeted Attack on Deep RL-Based Autonomous Driving with Learned Visual Patterns,Prasanth Buddareddygari; Travis Zhang; Yezhou Yang; Yi Ren,IEEE ICRA,2022,"The study shows that a single physical object painted with a learned pattern can hijack a pre-trained deep-RL driving policy, forcing precise unintended maneuvers such as self-parking. It bridges the gap between fully-digital and untargeted physical attacks, achieving high success rates across multiple driving scenes.(arxiv.org)",,,,,,,,,,,,,,
26,Rethinking Robustness Assessment: Adversarial Attacks on Learning-Based Quadrupedal Locomotion Controllers,Fan Shi; Chong Zhang; Takahiro Miki; Joonho Lee; Marco Hutter; Stelian Coros,Robotics: Science and Systems (RSS),2024,"Even state-of-the-art RL locomotion policies can collapse when hit with low-magnitude, time-correlated disturbances. The paper proposes a sequential adversarial attack that exposes hidden failure regions, validated in simulation and on real ANYmal C robots, and offers insights for hardening learned controllers.(arxiv.org)",,,,,,,,,,,,,,
27,Specification Gaming Examples in AI,Victoria Krakovna; Laurent Orseau; Richard Ngo; Miljan Martic; Shane Legg,NeurIPS Datasets & Benchmarks,2020,"Presents a curated “master list” of cases where AI agents exploit poorly specified reward functions—e.g., RL agents looping in place to farm points—highlighting the need for better objective design and serving as an open resource for safety research.(vkrakovna.wordpress.com)",,,,,,,,,,,,,,
28,TrojanRobot: Physical-World Backdoor Attacks Against VLM-Based Robotic Manipulation,Xianlong Wang et al.,arXiv (pre-print),2024,"Introduces TrojanRobot, a module-poisoning backdoor that embeds a stealth trigger into a vision-language model inside a real UR3e manipulator. Three prime attack modes—permutation, stagnation, intentional—give an attacker fine-grained control across 18 tasks while staying covert in physical environments.(arxiv.org)",,,,,,,,,,,,,,
29,On Ladder Logic Bombs in Industrial Control Systems,Naman Govil; Anand Agrawal; Nils Ole Tippenhauer,ESORICS (LNCS),2017,"Defines “ladder-logic bombs”—stealthy malware written directly in PLC ladder code—and demonstrates multiple payloads that falsify sensor data or alter actuation on real Siemens and Allen-Bradley PLCs. The authors also prototype two detection countermeasures, showing logic-layer attacks can bypass firmware defenses and persist inside critical ICS. (arxiv.org)",,,,,,,,,,,,,,
30,Adversarial Attacks on Optimization-Based Planners,Sai H. Vemprala; Ashish Kapoor,IEEE ICRA,2021,"Shows that an external “smart obstacle” can perturb the cost landscape of state-of-the-art trajectory optimizers (CHOMP & TrajOpt), forcing repeated replanning or outright failure. Experiments on quadrotor and manipulator simulations reveal up to 70 % slowdown and 40 % failure with only geometry-level manipulation. (arxiv.org)",,,,,,,,,,,,,,
31,Rogue Robots: Testing the Limits of an Industrial Robot’s Security,Trend Micro Research; Politecnico di Milano,Trend Micro White Paper,2017,"First hands-on security teardown of factory robots (ABB, Fanuc, Yaskawa). The team chains outdated OS libraries, weak auth, and unencrypted APIs to alter robot motion, inject micro-defects into parts, and even endanger human operators—proving Industry 4.0 robots inherit critical CPS flaws. (blackhat.com)",,,,,,,,,,,,,,
32,Cybersecurity Best Practices for the Safety of Modern Vehicles,U.S. National Highway Traffic Safety Administration (NHTSA),NHTSA Guidance Document,2022,"Updates the 2016 NHTSA guidance with ISO/SAE 21434 alignment, listing 30+ general (G.x) and technical (T.x) best-practice controls—from secure OTA updates and cryptographic credential management to incident-response playbooks—aimed at OEMs and suppliers to mitigate vehicle CPS threats. (nhtsa.gov)",,,,,,,,,,,,,,
33,How to Backdoor Federated Learning,Eugene Bagdasaryan; Andreas Veit; Yiqing Hua; Deborah Estrin; Vitaly Shmatikov,AISTATS,2020,"Introduces a “model-replacement” attack where a single malicious participant uploads a carefully scaled update that immediately implants a backdoor (e.g., trigger-based misclassification) into the global FL model while evading anomaly detection. Evaluated on CIFAR-10 and next-word prediction, achieving 100 % backdoor success in one round. (proceedings.mlr.press)",,,,,,,,,,,,,,
34,RoboRebound: Multi-Robot System Defense with Bounded-Time Interaction,Neeraj Gandhi; Yifan Cai; Andreas Haeberlen; Linh T. X. Phan,EuroSys,2025,Extends Byzantine-Fault Tolerance to fleets of physical robots that can bump or block one another. The proposed protocol offers a bounded-time interaction guarantee by combining a lightweight hardware watchdog with a new consensus algorithm. Simulations and wheeled-robot prototypes confirm the defense keeps tasks on track with modest overhead. (yifancai.tech),,,,,,,,,,,,,,
35,Certified Adversarial Robustness for Deep Reinforcement Learning,Björn Lütjens; Michael Everett; Jonathan P. How,Conference on Robot Learning,2020,"Presents an online certification layer that computes lower-bounds on state-action values in real time, enabling a Deep-Q Network to choose actions proven safe against any bounded input perturbation. Demonstrated on pedestrian-collision avoidance and classic control, the method significantly hardens RL policies to noise and adversarial examples. (proceedings.mlr.press)",,,,,,,,,,,,,,
36,Robust Multiple-Path Orienteering Problem: Securing Against Adversarial Attacks,Guangyao Shi; Lifeng Zhou; Pratap Tokekar,Robotics: Science and Systems,2023,"Defines the RMOP, where up to ? robots may be attacked. Provides approximation algorithms with worst-case guarantees that scale with ? and validates them in ocean-monitoring simulations, showing strong reward retention even under targeted robot failures. (roboticsconference.org)",,,,,,,,,,,,,,
37,Runtime Verification for Anomaly Detection of Robotic Systems Security,Yunus Sabri Kirca et al.,Machines (MDPI),2024,"Proposes a three-component runtime-verification architecture (verifier, attacker, robot) for ROS-based platforms. By correlating packet-rate anomalies with formal RV monitors, the system flags DoS-style disruptions within the robot’s communication graph and proves effective in lab experiments. (mdpi.com)",,,,,,,,,,,,,,
38,A Dual-Agent Adversarial Framework for Robust Generalization in Deep Reinforcement Learning,Zhengpeng Xie; Jiahang Cao; Yulong Zhang; Qiang Zhang; Renjing Xu,arXiv pre-print,2025,"Introduces a game between two RL agents that try to destabilize each other’s representations while keeping their own stable, forcing both to ignore spurious visual cues. On the Procgen benchmark, the method markedly outperforms PPO baselines on hard generalization tasks. (arxiv.org)",,,,,,,,,,,,,,
39,Lifelike Agility and Play in Quadrupedal Robots Using Reinforcement Learning and Generative Pre-trained Models,Lei Han et al.,Nature Machine Intelligence,2024,"Presents a three-tier, pre-trainable control stack: a GPT-style generative “primitive” model learned from animal motion, an environment-level adaptation layer, and a strategic RL head. Deployed on the MAX quadruped, the stack unlocks cat-like vaults, terrain traversal, and a multi-robot tag game—showing that large-model priors boost both agility and emergent play. (arxiv.org)",,,,,,,,,,,,,,
40,Robust Imitation Learning from Corrupted Demonstrations,Liu Liu; Ziyang Tang; Lanqing Li; Dijun Luo,ICLR,2022,"Introduces a Median-of-Means objective that withstands a constant-fraction of arbitrarily corrupted demos. Theoretically matches behavior-cloning sample complexity while provably bounding error; MuJoCo tasks with 30 % outliers still converge to expert-level returns, outperforming prior robust IL baselines. (arxiv.org)",,,,,,,,,,,,,,
41,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,Falong Fan; Xi Li,arXiv pre-print,2025,"Treats interacting agents as watchdogs: each queries peers and flags illogical chains of thought to isolate poisoned backdoor agents. Tested on LLM-driven coordination and StarCraft micromanagement, PeerGuard detects >93 % of triggered agents with <5 % false positives, adding negligible latency. (arxiv.org)",,,,,,,,,,,,,,
42,Secure and Lightweight Over-the-Air Software Update Distribution for Connected Vehicles,Christian Plappert; Andreas Fuchs,ACSAC,2023,"Proposes a two-phase OTA protocol: compressed Merkle-tree chunking plus a TLS-protected “manifest-only” push, cutting update bandwidth by 46 % while guaranteeing end-to-end authenticity. Formal analysis shows resistance to replay and mix-and-match attacks; an automotive testbed flashes full ECU images in under half the time of Uptane. (dl.acm.org)",,,,,,,,,,,,,,
43,Anomaly Detection and Concept Drift Adaptation for Dynamic Systems: A General Method Using an Industrial Collaborative Robot,Qifeng Zhang; Fei Sun; Yu Lu,Sensors,2023,"Combines incremental clustering with KL-divergence drift tests to flag both sudden anomalies and slow statistical shifts in cobot telemetry. On a UR10e welding line, the system catches 97 % of actuator faults and adapts thresholds within five cycles after a tooling change, avoiding false alarms during normal retuning. (mdpi.com)",,,,,,,,,,,,,,
44,Can ROS Be Used Securely in Industry? Red Teaming ROS-Industrial,Víctor Mayoral-Vilches; Martin Pinzger; Stefan Rass; Bernhard Dieber,IEEE ICRA,2020,"A full “red-team” exercise against a synthetic ROS-Industrial cell uncovers four attack classes—topic hijacking, parameter poisoning, file-system exploits, and privilege escalation—that let testers seize most robot endpoints. The study concludes that vanilla ROS1 deployments remain hard to secure without additional controls, although a few hardened nodes withstood compromise. (arxiv.org)",,,,,,,,,,,,,,
45,Analyzing Impact and System-Wide Effects of the SlowROS Attack in an Industrial Automation Scenario,Ivan Cibrario Bertolotti; Luca Durante; Enrico Cambiaso,Future Internet,2025,"“SlowROS” adapts the classic Slowloris DoS to ROS publishers by dribbling TCP segments; experiments on a pick-and-place line show up to 92 % CPU load and 75 % latency inflation in critical nodes, cascading into missed deadlines at the PLC layer. The authors quantify attack surfaces and propose QoS-rate throttles as a partial fix. (mdpi.com)",,,,,,,,,,,,,,
46,Keymint Tools: X.509 and DDS Security Profile Automation for ROS 2,Steven Hayne & Contributors,GitHub (Open-source toolkit),2024,"Keymint Tools automates the generation, signing, and rotation of X.509 certificates plus DDS-Security XML policies for large ROS 2 fleets. The CLI-driven workflow turns error-prone manual PKI steps into repeatable builds, lowering mis-configuration risk and speeding secure-launch pipelines. (github.com)",,,,,,,,,,,,,,
47,ROS Defender: SDN-Based Security Policy Enforcement for Robotic Applications,Sebastián Rivera; Slim Lagraa; Radu State; Cristina Nita-Rotaru; Steven Becker,IEEE SafeThings Workshops,2019,"ROS Defender inserts an OpenFlow proxy between robot hosts and the ROS master, enforcing per-topic ACLs and anomaly filters driven by a security-event manager. In a TurtleBot lab, the SDN layer blocks 100 % of unauthorized publishers while adding <2 ms median latency. (ieee-security.org)",,,,,,,,,,,,,,
48,Detecting Data Injection Attacks in ROS Systems Using Machine Learning,Rodrigo A. Antunes; Bruno L. Dalmazo; Paulo L. J. Drews,LARS/SBR/WRE,2022,"Capturing ROS TCP traffic features, the authors train an SVM classifier that flags forged telemetry with ?92 % accuracy and <4 % false positives in Gazebo-simulated nav stacks, demonstrating ML-based IDS viability for ROS-1 networks. (researchgate.net)",,,,,,,,,,,,,,
49,Picaros: Decentralized Information-Flow Control for ROS 2,Nikita Pandya; Vidyadhar Ganapathy; Animesh Nayak; Francisco J. Rodríguez-Lera,NDSS,2024,"Picaros embeds attribute-based encryption keys in ROS 2 messages, enforcing end-to-end labels without a central monitor. Micro-benchmarks show <9 % throughput loss, and a SwarmBot case study illustrates how Picaros blocks illicit data exfiltration even when a node is compromised. (ndss-symposium.org)",,,,,,,,,,,,,,
50,Real-Time Operating System Timing Jitter and its Impact on Motor Control,F. M. Proctor; W. P. Shackleford,SPIE Sensors & Controls for Intelligent Manufacturing II,2001,"Measures scheduler-induced jitter across five commercial RTOS kernels driving servo loops. Peak 12 µs jitter in a 1 kHz loop translated to ?0.5° phase error on a brush-less DC motor, showing why tight interrupt latency bounds are crucial for precision motion. The authors outline priority rules and buffering tricks to budget jitter in industrial cells. (nist.gov)",,,,,,,,,,,,,,
51,CVE-2018-5268: Heap Overflow in OpenCV 3.3.1 JPEG2000 Decoder,MITRE CVE team,National Vulnerability Database entry,2018,"A crafted JPEG2000 image can trigger a heap-based buffer overflow in cv::Jpeg2KDecoder::readComponent8u, leading to denial-of-service or potential code execution in any vision stack that links against the vulnerable OpenCV build. NVD rates the flaw CVSS 3.1 5.5 (MEDIUM). Patch released in OpenCV 3.4.4. (nvd.nist.gov)",,,,,,,,,,,,,,
52,Race Condition in MultiThreadedExecutor with Intra-Process Communication (#1007),W. Brawner et al.,GitHub issue (ROS 2 rclcpp),2020,"ROS 2’s intra-process ring buffer could be dequeued by one thread while another still believed it had data, crashing tests and occasionally spinning CPU at 100 %. The discussion reproduces the bug and the merged patch (#1213) that adds mutex-guarded dequeue, illustrating hard-to-see timing hazards in high-rate robot code. (github.com)",,,,,,,,,,,,,,
53,Drift with Devil: Security of Multi-Sensor-Fusion Localization Under GPS Spoofing,J. Shen; J. Y. Won; Z. Chen; Q. A. Chen,USENIX Security ’20,2020,"FusionRipper subtly perturbs civilian-grade GPS so an EKF fusing GPS, IMU and wheel odometry drifts up to 175 m over a 5 km drive without triggering residual checks. Six real-world traces confirm ?91 % success. Authors propose adaptive Kalman gating to limit spoof-amplified drift. (usenix.org)",,,,,,,,,,,,,,
54,You Can’t See Me: Physical Removal Attacks on LiDAR-Based AV Frameworks,Y. Cao; S. H. Bhupathiraju; P. Naghavi; T. Sugawara; Z. M. Mao; S. Rampazzi,USENIX Security ’23,2023,"Presents a spray-paint pattern that cancels LiDAR returns from real objects, erasing obstacles from Apollo and Autoware perception in daylight. The “removal cloak” achieves 95 % hide rate at 10 m and forces planners to continue straight into the spoofed gap, proving that LiDAR, while immune to simple spoofing, is still vulnerable to crafty optical attenuation. (usenix.org)",,,,,,,,,,,,,,
55,Managing End-to-End Timing Jitters in ROS 2 Computation Chains,H. Abaza; D. Roy; Y. Liu; B. Trach; S. Saidi,RTNS (Real-Time Networks & Systems),2024,"Builds a static-analysis tool plus runtime shim that tracks each hop in a ROS 2 message chain and applies priority inheritance, CPU isolation, and memory pinning to cap worst-case delay. On a camera ? detector ? planner ? actuator pipeline, the approach slashes the 99th-percentile end-to-end jitter from 42 ms to < 4 ms without breaking ROS API compatibility. (dl.acm.org, linknovate.com, linkedin.com)",,,,,,,,,,,,,,
56,ROS 2 Real-Time Performance Optimization and Evaluation,Y. Ye; Z. Nie; X. Liu; F. Xie; Z. Li,Chinese Journal of Mechanical Engineering,2023,"Compares ROS1 and ROS 2 on PREEMPT_RT Linux, revealing that ROS 2 with fine-grained QoS tuning and thread affinity achieves 83 % lower max latency and doubles end-to-end throughput on an EtherCAT assembly-line testbed. Provides a tuning checklist for industrial integrators. (cjme.springeropen.com)",,,,,,,,,,,,,,
57,Advancing Humanoid Robotics with Rust: An Open Framework for Runtime Efficiency,M. Schmidt; H. Sieck; O. Felber; K. Nölle; L. Scheuch; P. Gottsch,RoboCup Int. Symposium,2023,Introduces a Rust-based middleware stack for NAO-class humanoids. Zero-copy message passing and compile-time safety checks cut runtime overhead by 25–30 % versus a C++ baseline while eliminating common memory faults; case studies from RoboCup SPL validate field robustness. (hulks.de),,,,,,,,,,,,,,
58,DDS Security+: Enhancing the Data Distribution Service with TPM-Based Remote Attestation,P. G. Wagner; P. Birnstill; J. Beyerer,ARES,2024,"Extends the DDS security handshake with TPM 2.0 quotes, letting subscribers verify publisher firmware integrity before accepting data. A prototype on two NUC-based robots adds < 5 ms to session setup and blocks all forged-publisher attacks tried in the test suite. (dl.acm.org)",,,,,,,,,,,,,,
59,Race Condition Attacks and Defenses on System Audit Frameworks,R. Paccagnella; K. Liao; D. Tian; A. Bates,ACM CCS,2020,"Demonstrates “log-racing” attacks that interleave unlogged writes between syscall and audit events, hiding privilege escalation in Linux auditd. Proposes a commit-order enforcement patch that eliminates the window at < 3 % overhead and is upstream-compatible with eBPF filters. (cs.cmu.edu)",,,,,,,,,,,,,,
60,Potential Cyberattacks on Automated Vehicles,Jean-Charles Petit; Steven E. Shladover,IEEE T-ITS,2015,"Surveys automated-vehicle attack surfaces—sensors, V2X links, in-vehicle networks—and argues that safety-critical automation will require far deeper redundancy and isolation than today’s ADAS. Case sketches cover GPS spoofing, DSRC jamming, malware in ECU firmware, and fake roadside messages. (researchgate.net)",,,,,,,,,,,,,,
61,Rocking Drones with Intentional Sound Noise on Gyroscopic Sensors,Dohyun Son; Yongdae Kim; Paul Barth; et al.,USENIX Security,2015,"Demonstrates that resonant acoustic tones (?20 kHz) injected through the air can desaturate MEMS gyros, overpowering flight controllers and toppling quadcopters. The authors craft an adaptive chirp that maintains lock despite RPM changes, causing yaw drifts >30 °/s in DJI drones at 10 m. (researchgate.net)",,,,,,,,,,,,,,
62,Ghost Talk: Mitigating EMI Signal Injection Attacks Against Analog Sensors,Edward Kune; Yongdae Jin; Kevin Fu; et al.,USENIX Security,2013,"Introduces low-power electromagnetic waveform injection that fakes mV-level analog sensor outputs (e.g., heartbeat, temperature). Evaluates shielding, differential inputs, and analog-filter countermeasures, showing ?3 dB SNR can still bias readings without detection. (spqrlab1.github.io)",,,,,,,,,,,,,,
63,Adversarial Optical Channel Exploits Against LiDARs for Automotive Security,Hocheol Shin; Dohyun Kim; Yujin Kwon; Yongdae Kim,USENIX Security,2017,"Presents two LiDAR threats: Illusion, which inserts fake points to spawn phantom obstacles, and Dazzle, a saturation beam that blinds whole scan sectors. Live tests on Velodyne VLP-16 show 96 % point-cloud corruption at 50 m, urging multi-sensor cross-checks as a defense. (iacr.org)",,,,,,,,,,,,,,
64,Fooling Automated Surveillance Cameras: Adversarial Patches to Attack Person Detection,Simen Thys; Wiebe Van Ranst; Toon Goedemé,CVPR Workshops,2019,"Engineers printable patches that, when held over a torso, drop YOLO-v2 person-detection rates below 10 % in both indoor and outdoor CCTV footage. The attack remains effective across viewing angles and distances up to 20 m, revealing a cheap avenue to evade vision-based security. (openaccess.thecvf.com)",,,,,,,,,,,,,,
65,Physical Adversarial Examples for Object Detectors,Kevin Eykholt; Ivan Evtimov; Earlence Fernandes; Bo Li; Amir Rahmati; Florian Tramèr; Atul Prakash; Tadayoshi Kohno; Dawn Song,IEEE/CVF CVPR,2018,"Extends physical-world attacks from image classifiers to object detectors. A printable poster or sticker applied to a Stop sign makes YOLOv2 miss the sign in >72 % of outdoor frames and Faster R-CNN in >40 %, plus a “creation attack” that fabricates nonexistent objects. (arxiv.org, usenix.org)",,,,,,,,,,,,,,
66,Cybersecurity Issues in Robotic Platforms,Adrián Campazas-Vega; Alberto Miguel-Díez; Mario Hermida-López; Claudia Álvarez-Aparicio; Ignacio Sánchez-Crespo; Ana María Guerrero-Higueras,Int. Conf. on Business Information Security (BISEC),2023,"Reports penetration-testing results on Unitree A1 and Pepper robots: weak default creds, unencrypted APIs, and insecure update channels allow privilege escalation and motion hijacking. Recommends hardening guidelines tailored to social and quadruped robots. (ceur-ws.org, ceur-ws.org)",,,,,,,,,,,,,,
67,Temporal Consistency Checks to Detect LiDAR Spoofing Attacks on Autonomous Vehicle Perception,Chengzeng You; Zhongyuan Hau; Soteris Demetriou,Security & Privacy for Mobile AI Workshop @ ACM MobiSys,2021,"Introduces 3D-TC², which tracks predicted motion across LiDAR frames; ghost objects injected by spoofers lack coherent trajectories. Prototype flags >98 % of spoofed cars at 41 Hz with 91 % recall, operating in real time on commodity hardware. (arxiv.org, dl.acm.org)",,,,,,,,,,,,,,
68,Shadow-Catcher: Looking into Shadows to Detect Ghost Objects in Autonomous Vehicle 3D Sensing,Zhongyuan Hau; Soteris Demetriou; Luis Muñoz-González; Emil C. Lupu,ESORICS,2021,"Leverages a new physical invariant—object shadows in point clouds—to spot LiDAR ghost attacks on vehicles, pedestrians, and cyclists. Achieves >94 % detection accuracy while processing each object in ?21 ms, and withstands adaptive “invalidation” attacks. (arxiv.org, soteris.github.io)",,,,,,,,,,,,,,
