#,Attack Vector,P-D1 Secure-Boot Root,P-D2 Redundant Encoders,P-D3 Rail-Cut-outs,P-D4 Tamper Evidence,P-D5 Leak-Resilient Mech.,SP-D1 Cross-Modal Coherence,SP-D2 Coded Illum./PulseID,SP-D3 Acoustic/EMI Hardening,SP-D4 Adv.-Trained Detectors,SP-D5 Enc./Data-Hygiene,DP-D1 Deadline Guards,DP-D2 Memory-Safe Stack,DP-D3 Race-Proof Queues,DP-D4 Param Attest./Sanity,MW-D1 DDS-Security,MW-D2 ROS-Defender/RIPS,MW-D3 Info-Flow Labels,MW-D4 QoS & Freshness,DM-D1 Redundant Ctrl.,DM-D2 Adv.-Aware Plan,DM-D3 Adv. Training,DM-D4 Poison-Resil. Learn,DM-D5 Backdoor Detect,DM-D6 Secure Updates,DM-D7 Drift Monitors,AP-D1 Signed Scripts,AP-D2 API Gateways,AP-D3 Secure OTA/CI,AP-D4 Twin Hardening,AP-D5 Param Guards,SI-D1 Signal Filters,SI-D2 Robust ASR,SI-D3 Anti-Spoof Vision,SI-D4 Privacy Guards,SI-D5 Trust-Boundary UX
11,Timing-channel jitter DP-A1,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.25,0,0.25,0,0.5,0.5,0.25,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
12,Memory-safety overflow DP-A2,0,0,0,0,0,0,0,0,0,0.25,0,1,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0,0.75,0,0,0,0.25,0,0,0,0,0,0,0
13,Race / TOCTOU on buffers DP-A3,0,0,0,0,0,0,0,0,0,0,0.25,0.25,1,0.5,0,0.25,0.25,0.25,0.5,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0
14,Estimator-bias tampering DP-A4,0,0.25,0,0,0,0.75,0.25,0,0.5,0,0,0,0,1,0,0.25,0.25,0.25,0.75,0.5,0.5,0.25,0,0.25,0.75,0.25,0,0.25,0,0.5,0,0,0,0,0
15,Topic spoof / GUID hijack MW-A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0.75,0.5,0.5,0.25,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0
16,Replay / stale frame MW-A2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.75,0.25,1,0.25,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0
17,Plain-text sniff / exfil MW-A3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0.5,0.75,0.25,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0
18,Discovery abuse / DoS MW-A4,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,1,0.25,0.75,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
19,Adv. examples (vision/RL) DM-A1,0,0,0,0,0,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0
20,Sequential perturbations DM-A2,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0.5,0.75,0.5,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0
21,Slow fuse / concept drift DM-A3,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0.5,0.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,Reward hacking / spec gaming DM-A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
23,Model poisoning / FL backdoor DM-A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1,0.75,0.75,0,0.25,0,0.5,0,0,0,0,0,0,0
24,Physical backdoor trigger DM-A6,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0
25,FSM logic bombs DM-A7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0.25,0,0,0,0,0,1,0.5,0.5,0,0.75,0,0,0,0,0
26,Param-gain tampering DM-A8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,0,0.25,0,0,0,0,0,0,0.5,0.25,0,0,1,0,0,0,0,0
27,Planner cost manipulation DM-A9,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
28,Malicious OTA update DM-A10,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0.25,0,0,0,0,0,0,0,1,0,0.75,0,1,0,0,0,0,0,0,0
29,Trojaned pretrained model DM-A11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.5,0.75,0.75,0,0,0,0.5,0,0,0,0,0,0,0
30,Script / FSM corruption AP-A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,1,0.5,0.75,0.25,0.25,0,0,0,0,0
31,Unauth. APIs AP-A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.25,0.25,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0
32,Unsigned OTA / CI chain AP-A3,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,1,0.25,0.5,0,1,0,0,0,0,0,0,0
33,Twin overload / sim gap AP-A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.5,0,0,0,0,0.5,0,0.5,0,1,0,0,0,0,0,0
34,Runtime param tamper AP-A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,0,0.25,0,0,0,0,0,0.5,0.25,0.25,0,0,1,0,0,0,0,0
35,Ultrasound/laser cmd SI-A1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0,0,0.25
36,Hidden / synthetic audio SI-A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0.5
37,Visual spoof / adv. patch SI-A3,0,0,0,0,0,0.75,0,0,1,0,0,0,0,0.25,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0.75,0,0
38,Privacy leak takeover SI-A4,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.5,0.25,0.75,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1,0.5
39,Social eng. trust abuse SI-A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,1
