chain_id,attack_id,weight,path
CH_39376839,Physical backdoor trigger DM-A6,0.5,DM>AP>SI
CH_39376839,FSM logic bombs DM-A7,0.75,DM>AP>SI
CH_39376839,Param-gain tampering DM-A8,0.6,DM>AP>SI
CH_39376839,Planner cost manipulation DM-A9,0.6,DM>AP>SI
CH_39376839,Malicious OTA update DM-A10,0.75,DM>AP>SI
CH_39376839,Trojaned pretrained model DM-A11,0.6,DM>AP>SI
CH_17200383,Timing-channel jitter DP-A1,0.2,DP>DM>AP
CH_17200383,Memory-safety overflow DP-A2,1.0,DP>DM>AP
CH_17200383,Race / TOCTOU on buffers DP-A3,0.6,DP>DM>AP
CH_17200383,Estimator-bias tampering DP-A4,0.6,DP>DM>AP
CH_87901035,Topic spoof / GUID hijack MW-A1,0.8,MW>AP>SI
CH_87901035,Replay / stale frame MW-A2,0.6,MW>AP>SI
CH_87901035,Plain-text sniff / exfil MW-A3,0.6,MW>AP>SI
CH_87901035,Discovery abuse / DoS MW-A4,0.6,MW>AP>SI
CH_96425956,Firmware reflashing P-A1,0.75,P>DP>DM
CH_96425956,Sensor-bias (magnet/IR) P-A2,0.6,P>DP>DM
CH_96425956,Power-rail surges P-A3,0.4,P>DP>DM
CH_96425956,Field-level tampering P-A4,0.45,P>DP>DM
CH_96425956,Acoustic / EM side-channel P-A5,0.2,P>DP>DM
CH_53075358,Firmware reflashing P-A1,0.75,P>S>DP
CH_53075358,Sensor-bias (magnet/IR) P-A2,0.6,P>S>DP
CH_53075358,Power-rail surges P-A3,0.4,P>S>DP
CH_53075358,Field-level tampering P-A4,0.45,P>S>DP
CH_53075358,Acoustic / EM side-channel P-A5,0.2,P>S>DP
CH_71729370,Active optical LiDAR spoof SP-A1,0.6,S>DP>DM
CH_71729370,Camera/Depth blinding SP-A2,0.8,S>DP>DM
CH_71729370,Ultrasound / EMI IMU drift SP-A3,0.6,S>DP>DM
CH_71729370,Physical adversarial patches SP-A4,0.45,S>DP>DM
CH_71729370,Sensor-driven privacy leak SP-A5,0.45,S>DP>DM
CH_54729240,Timing-channel jitter DP-A1,0.2,DP>DM>AP>SI
CH_54729240,Memory-safety overflow DP-A2,1.0,DP>DM>AP>SI
CH_54729240,Race / TOCTOU on buffers DP-A3,0.6,DP>DM>AP>SI
CH_54729240,Estimator-bias tampering DP-A4,0.6,DP>DM>AP>SI
CH_10626051,Firmware reflashing P-A1,0.75,P>DP>DM>AP
CH_10626051,Sensor-bias (magnet/IR) P-A2,0.6,P>DP>DM>AP
CH_10626051,Power-rail surges P-A3,0.4,P>DP>DM>AP
CH_10626051,Field-level tampering P-A4,0.45,P>DP>DM>AP
CH_10626051,Acoustic / EM side-channel P-A5,0.2,P>DP>DM>AP
CH_82075305,Firmware reflashing P-A1,0.75,P>S>DP>DM
CH_82075305,Sensor-bias (magnet/IR) P-A2,0.6,P>S>DP>DM
CH_82075305,Power-rail surges P-A3,0.4,P>S>DP>DM
CH_82075305,Field-level tampering P-A4,0.45,P>S>DP>DM
CH_82075305,Acoustic / EM side-channel P-A5,0.2,P>S>DP>DM
CH_18811622,Active optical LiDAR spoof SP-A1,0.6,S>DP>DM>AP
CH_18811622,Camera/Depth blinding SP-A2,0.8,S>DP>DM>AP
CH_18811622,Ultrasound / EMI IMU drift SP-A3,0.6,S>DP>DM>AP
CH_18811622,Physical adversarial patches SP-A4,0.45,S>DP>DM>AP
CH_18811622,Sensor-driven privacy leak SP-A5,0.45,S>DP>DM>AP
CH_16207412,Firmware reflashing P-A1,0.75,P>DP>DM>AP>SI
CH_16207412,Sensor-bias (magnet/IR) P-A2,0.6,P>DP>DM>AP>SI
CH_16207412,Power-rail surges P-A3,0.4,P>DP>DM>AP>SI
CH_16207412,Field-level tampering P-A4,0.45,P>DP>DM>AP>SI
CH_16207412,Acoustic / EM side-channel P-A5,0.2,P>DP>DM>AP>SI
CH_36365138,Firmware reflashing P-A1,0.75,P>S>DP>DM>AP
CH_36365138,Sensor-bias (magnet/IR) P-A2,0.6,P>S>DP>DM>AP
CH_36365138,Power-rail surges P-A3,0.4,P>S>DP>DM>AP
CH_36365138,Field-level tampering P-A4,0.45,P>S>DP>DM>AP
CH_36365138,Acoustic / EM side-channel P-A5,0.2,P>S>DP>DM>AP
CH_25181355,Active optical LiDAR spoof SP-A1,0.6,S>DP>DM>AP>SI
CH_25181355,Camera/Depth blinding SP-A2,0.8,S>DP>DM>AP>SI
CH_25181355,Ultrasound / EMI IMU drift SP-A3,0.6,S>DP>DM>AP>SI
CH_25181355,Physical adversarial patches SP-A4,0.45,S>DP>DM>AP>SI
CH_25181355,Sensor-driven privacy leak SP-A5,0.45,S>DP>DM>AP>SI
